ID|STAR|PERIOD|V_INTMEAN|L|B
328.0|DW Mus|1.002282||304.42|-6.07
329.0|S Nor|9.754244|6.394|327.75|-5.40
330.0|U Nor|12.643710|9.238|325.65|-0.16
331.0|RS Nor|6.198136|10.027|329.08|-1.19
332.0|SY Nor|12.645687|9.513|327.50|-0.68
333.0|TW Nor|10.786180|11.704|330.36|0.30
335.0|GU Nor|3.452877|10.411|330.54|-1.74
336.0|II Nor|23.559000||331.05|-3.06
337.0|IQ Nor|8.238620|9.566|322.46|2.67
338.0|QZ Nor|3.786008|8.866|329.46|-2.12
339.0|V340 Nor|11.287000|8.375|329.75|-2.23
340.0|Y Oph|17.126908|6.169|20.60|10.12
341.0|BF Oph|4.067510|7.337|357.08|8.57
342.0|RS Ori|7.566881|8.412|196.58|0.35
343.0|CR Ori|4.910346|12.287|195.94|-3.85
344.0|CS Ori|3.889390|11.381|197.97|-4.51
345.0|CU Ori|2.159930||197.87|-3.32
346.0|CV Ori|3.559760||196.36|-2.24
347.0|DF Ori|3.180700||199.41|-0.65
348.0|DO Ori|6.343500||193.59|-3.63
349.0|GQ Ori|8.616068|8.965|199.77|-4.42
350.0|V336 Ori|2.843630||189.23|-2.30
351.0|SV Per|11.129318|9.020|162.59|-1.51
352.0|SX Per|4.289967|11.158|158.87|-6.35
353.0|UX Per|4.565815|11.664|133.58|-3.09
354.0|UY Per|5.365106|11.344|135.94|-1.41
355.0|VX Per|10.889040|9.312|132.80|-2.96
356.0|VY Per|5.531830|11.257|135.08|-1.67
357.0|AS Per|4.972516|9.723|154.14|-0.87
358.0|AW Per|6.463589|7.492|166.62|-5.39
359.0|BM Per|22.951900|10.388|155.66|-0.08
360.0|CI Per|3.377900|12.680|132.83|-4.31
361.0|DW Per|3.649785|11.555|136.56|-3.11
362.0|GP Per|2.041600|14.085|157.90|-3.79
363.0|HQ Per|8.637930|11.595|163.01|-3.28
364.0|HZ Per|11.279000|13.767|157.19|-2.54
365.0|MM Per|4.118415|10.802|150.41|-5.29
